person_id,display_name,scholar_id,scholar_id_source_url,scholar_id_verified_at,orcid,homepage_url,notes
person-thomas-f531a8ff,Ravi Thomas,,,,,,Verified against an official CMU directory on 2026-07-17.
person-thompson-1b8a376e,Thompson,,,,,,Migrated from the legacy map registries; full-name review pending.
person-thornburg-692fdbef,Jesse Thornburg,vVhcBXoAAAAJ,,,,,Verified against an official CMU directory on 2026-07-17.
person-tilton-3ee635e8,Robert D. Tilton,LNwlI-8AAAAJ,https://engineering.cmu.edu/directory/bios/tilton-robert.html,2026-07-17,,https://engineering.cmu.edu/directory/bios/tilton-robert.html,Verified against an official CMU directory on 2026-07-17; Added from an official CMU directory on 2026-07-17; Merged duplicate registry identity person-robertdtilton-ddf75897 on 2026-07-17; Scholar ID verified from a linked public source on 2026-07-17.
person-timothyverstynen-f3490551,Timothy Verstynen,rjPNIhkAAAAJ,https://www.cmu.edu/news/experts/timothy.verstynen,2026-07-17,,https://www.cmu.edu/news/experts/timothy.verstynen,Added from an official CMU directory on 2026-07-17; Scholar ID verified from a linked public source on 2026-07-17.
person-toerien-5ee4e414,Toerien,,,,,,Migrated from the legacy map registries; full-name review pending.
person-tonguz-7107a4dd,Ozan Tonguz,,,,,,Verified against an official CMU directory on 2026-07-17.
person-torres-f3047bdc,Ana Inés Torres,8xQ5wR4AAAAJ,,,,,Verified against an official CMU directory on 2026-07-17.
person-towe-a7ced21f,Elias Towe,,,,,,Verified against an official CMU directory on 2026-07-17.
person-tucker-dc4f5923,Conrad Tucker,8N6uFIkAAAAJ,,,,,Verified against an official CMU directory on 2026-07-17.
person-ulissi-c727254a,Ulissi,E0tlVgQAAAAJ,,,,,Migrated from the legacy map registries; full-name review pending.
person-umuhoza-7a04ba41,Eric Umuhoza,rcGIhfMAAAAJ,,,,,Verified against an official CMU directory on 2026-07-17.
person-varodayan-84666bbe,David Varodayan,kyxpmt8AAAAJ,,,,,Verified against an official CMU directory on 2026-07-17.
person-vchen-9b5c7f9b,Vanessa Chen,hkAq-IIAAAAJ,,,,,Verified against an official CMU directory on 2026-07-17.
person-vernon-cb39dcf1,Vernon,gcqbMxAAAAAJ,,,,,Migrated from the legacy map registries; full-name review pending.
person-wahby-90f4c78c,Riad Wahby,cwIxVGgAAAAJ,,,,,Verified against an official CMU directory on 2026-07-17.
person-wang-2051cd94,Gerald Wang,VH21b7cAAAAJ,,,,,Verified against an official CMU directory on 2026-07-17.
person-wang-685e2f11,Liwei Wang,VPWy3N8AAAAJ,,,,,Verified against an official CMU directory on 2026-07-17.
person-wang-ebfb2368,Yu-li Wang,E2N0GsIAAAAJ,,,,,Verified against an official CMU directory on 2026-07-17.
person-warrengarrison-657e67f6,Warren Garrison,,,,,,Added from an official CMU directory on 2026-07-17; Scholar ID unresolved.
person-washburn-3a49d96a,Newell R. Washburn,ctYLFRIAAAAJ,,,,,Verified against an official CMU directory on 2026-07-17.
person-wayne-7ded72b5,Wayne,_7HjzLYAAAAJ,,,,,Migrated from the legacy map registries; full-name review pending.
