person_id,department_id,role,included,legacy_label,source_url,verified_at
person-tilton-3ee635e8,bme,faculty,true,Robert D. Tilton,https://www.cmu.edu/bme/People/Faculty/,2026-07-17
person-timothyverstynen-f3490551,bme,faculty,true,Timothy Verstynen,https://www.cmu.edu/bme/People/Faculty/,2026-07-17
person-tucker-dc4f5923,bme,faculty,true,Conrad Tucker,https://www.cmu.edu/bme/People/Faculty/,2026-07-17
person-wang-ebfb2368,bme,emeritus,true,Wang,https://www.cmu.edu/bme/People/Faculty/,2026-07-17
person-washburn-3a49d96a,bme,faculty,true,Washburn,https://www.cmu.edu/bme/People/Faculty/,2026-07-17
person-wayne-7ded72b5,bme,former,false,Wayne,https://www.cmu.edu/bme/People/Faculty/,2026-07-17
person-weber-04119f6b,bme,faculty,true,Douglas J. Weber,https://www.cmu.edu/bme/People/Faculty/,2026-07-17
person-webster-wood-d2b08d26,bme,courtesy,false,Victoria Webster-Wood,https://www.cmu.edu/bme/People/Faculty/,2026-07-17
person-wood-0659efc9,bme,courtesy,false,Wood,https://www.cmu.edu/bme/People/Faculty/,2026-07-17
person-yongjiejessicazhang-5b7f2c04,bme,courtesy,false,Yongjie Jessica Zhang,https://www.cmu.edu/bme/People/Faculty/,2026-07-17
person-yongxinleonzhao-ee657c1e,bme,faculty,true,Yongxin (Leon) Zhao,https://www.cmu.edu/bme/People/Faculty/,2026-07-17
person-yu-f6b9b7db,bme,faculty,true,BYu,https://www.cmu.edu/bme/People/Faculty/,2026-07-17
person-zackoryerickson-7430abb2,bme,faculty,true,Zackory Erickson,https://www.cmu.edu/bme/People/Faculty/,2026-07-17
person-zapanta-5293b7b5,bme,teaching,true,Zapanta,https://www.cmu.edu/bme/People/Faculty/,2026-07-17
person-zeyneptemel-b869d8a9,bme,faculty,true,Zeynep Temel,https://www.cmu.edu/bme/People/Faculty/,2026-07-17
person-zheng-6b8a962f,bme,faculty,true,Zheng,https://www.cmu.edu/bme/People/Faculty/,2026-07-17
person-aisuluaitbekova-a920cf51,cheme,faculty,true,Aisulu Aitbekova,https://www.cheme.engineering.cmu.edu/directory/index.html,2026-07-17
person-alexandranewby-4fb2f25f,cheme,teaching,true,Alexandra Newby,https://www.cheme.engineering.cmu.edu/directory/index.html,2026-07-17
person-anna-cdbc7781,cheme,faculty,true,Anna,https://www.cheme.engineering.cmu.edu/directory/index.html,2026-07-17
person-annettejacobson-1594ecd4,cheme,emeritus,true,Annette Jacobson,https://www.cheme.engineering.cmu.edu/directory/index.html,2026-07-17
person-arthurwesterberg-30882d49,cheme,emeritus,true,Arthur Westerberg,https://www.cheme.engineering.cmu.edu/directory/index.html,2026-07-17
person-beckwithmaddock-1e5ef6fb,cheme,teaching,true,BeckwithMaddock,https://www.cheme.engineering.cmu.edu/directory/index.html,2026-07-17
person-berikydstie-775d9584,cheme,emeritus,true,B. Erik Ydstie,https://www.cheme.engineering.cmu.edu/directory/index.html,2026-07-17
person-biegler-a1415ed7,cheme,faculty,true,Biegler,https://www.cheme.engineering.cmu.edu/directory/index.html,2026-07-17
person-chan-2024b343,cheme,faculty,true,Chan,https://www.cheme.engineering.cmu.edu/directory/index.html,2026-07-17
person-derinsevenler-2dc79cdc,cheme,faculty,true,Derin Sevenler,https://www.cheme.engineering.cmu.edu/directory/index.html,2026-07-17
person-donahue-f4c5ce86,cheme,faculty,true,Donahue,https://www.cheme.engineering.cmu.edu/directory/index.html,2026-07-17
person-gellman-e67f2c1e,cheme,faculty,true,Gellman,https://www.cheme.engineering.cmu.edu/directory/index.html,2026-07-17
person-gomes-b0fceb89,cheme,faculty,true,Gomes,https://www.cheme.engineering.cmu.edu/directory/index.html,2026-07-17
person-gordon-36de3549,cheme,faculty,true,Gordon,https://www.cheme.engineering.cmu.edu/directory/index.html,2026-07-17
person-gounaris-41caf631,cheme,faculty,true,Gounaris,https://www.cheme.engineering.cmu.edu/directory/index.html,2026-07-17
person-grossman-4b111234,cheme,faculty,true,Ignacio Grossmann,https://www.cheme.engineering.cmu.edu/directory/index.html,2026-07-17
person-jen-b71e73a9,cheme,faculty,true,Jen,https://www.cheme.engineering.cmu.edu/directory/index.html,2026-07-17
person-khair-ccd09f0b,cheme,faculty,true,Khair,https://www.cheme.engineering.cmu.edu/directory/index.html,2026-07-17
person-kitchin-430a3a16,cheme,faculty,true,Kitchin,https://www.cheme.engineering.cmu.edu/directory/index.html,2026-07-17
person-laird-31c02e10,cheme,faculty,true,Laird,https://www.cheme.engineering.cmu.edu/directory/index.html,2026-07-17
person-michaeldomach-3f5c4b8e,cheme,emeritus,true,Michael Domach,https://www.cheme.engineering.cmu.edu/directory/index.html,2026-07-17
person-myungjhon-172420d3,cheme,emeritus,true,Myung Jhon,https://www.cheme.engineering.cmu.edu/directory/index.html,2026-07-17
person-niepa-0590e1cc,cheme,faculty,true,Niepa,https://www.cheme.engineering.cmu.edu/directory/index.html,2026-07-17
person-panagakos-48889ebe,cheme,former,false,Panagakos,https://www.cheme.engineering.cmu.edu/directory/index.html,2026-07-17
person-paulsides-2aad7e27,cheme,emeritus,true,Paul Sides,https://www.cheme.engineering.cmu.edu/directory/index.html,2026-07-17
person-robinson-300d9df2,cheme,faculty,true,Robinson,https://www.cheme.engineering.cmu.edu/directory/index.html,2026-07-17
person-schneider-acb081c9,cheme,faculty,true,Schneider,https://www.cheme.engineering.cmu.edu/directory/index.html,2026-07-17
person-stevegaroff-22046197,cheme,emeritus,true,Steve Garoff,https://www.cheme.engineering.cmu.edu/directory/index.html,2026-07-17
person-susanasteppan-390a6ad0,cheme,emeritus,true,Susana Steppan,https://www.cheme.engineering.cmu.edu/directory/index.html,2026-07-17
person-tilton-3ee635e8,cheme,faculty,true,Tilton,https://www.cheme.engineering.cmu.edu/directory/index.html,2026-07-17
person-torres-f3047bdc,cheme,faculty,true,Torres,https://www.cheme.engineering.cmu.edu/directory/index.html,2026-07-17
